,artist.hotness,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
8749,0.40439264,AR8W8DN1187FB35ED0,The Germs,los angeles,1.0,0.032,0.14181,0.713,0.14181,111.49016,0.14800000000000002,0.460701983,9.0,0.396,31.759159999999998,"El Paso, TX",-106.48749,-8.889,1,0.312,132829,M.I.A.: The Complete Germs,ARNFTGS1187B9A465F,0.37598430200000005,SONVCGW12A81C23489,111.49,0.589,0.14181,115.76299999999999,rock,1.0,4.0,0.0,Going Down,1993
6459,0.34027550700000003,AR00LNI1187FB444A5,Bruce BecVar,,0.0,0.017,1.19201,0.8109999999999999,0.7482,257.93261,0.537,0.471212607,9.0,0.542,37.15735675013362,Not available,-63.93335786851952,-14.374,1,0.607,517848,River of Gold,AR0F54F1187FB44536,0.229144104,SOIKAUS12AB018AD93,247.391,0.366,0.5263,135.929,meditation,0.987277744,4.0,0.5870000000000001,Your Heart Can Sing,0
9531,0.34419818799999996,ARFCOGY1187FB454B4,The Winans,,0.0,0.006999999999999999,0.17296,0.9309999999999999,0.17296,300.59057,0.316,0.482148325,8.0,0.47600000000000003,37.15735675013362,"Detroit, MI",-63.93335786851952,-8.705,1,0.581,343272,Return,ARSA3561187FB58C37,0.249065795,SOUHUDD12A58A7C591,279.237,0.685,0.17296,135.909,ccm,1.0,4.0,0.526,Together We Stand (Album Version),0
2769,0.317229904,ARW6LIW1187B9966CD,JERRY WALLACE,,0.0,0.10800000000000001,0.6825600000000001,0.547,0.12652,180.50567,0.259,0.42804004100000004,9.0,0.392,39.10295,"Kansas City, MO",-94.58306,-14.794,0,0.45299999999999996,453776,Jerry Wallace's King Of The Mountain,AR0X3JJ1187FB3A9A7,0.253834736,SOEAYQZ12AB0186BB1,173.697,0.547,0.12652,219.298,doo-wop,1.0,4.0,0.451,You'll Never Know,0
6462,0.355449048,ARWADDH1187B98FDBB,Home Town Hero,,0.0,0.195,0.96741,0.5760000000000001,0.22562,206.88934,0.0,0.501368343,8.0,0.807,34.053490000000004,"Los Angeles, California",-118.24531999999999,-3.798,1,0.7020000000000001,542446,Home Town Hero,AREPHJU1187B98F3A9,0.253834736,SOIXCUV12AB017F48C,200.812,0.516,0.04249,161.991,post-grunge,1.0,4.0,0.0,Twelve Ounce (Album Version),2002
3724,0.37549448399999996,ARF1E421187B9AF8C4,El Gran Silencio,,0.0,0.013000000000000001,0.6553899999999999,1.0,0.23754,300.09424,0.17800000000000002,0.6398833039999999,7.0,0.156,37.15735675013362,Not available,-63.93335786851952,-6.195,1,0.665,35114,Super Riddim Internacional Volumen 1,AR5U53D1187FB37654,0.253834736,SOBWYOK12A6D4F9314,294.116,1.0,0.23754,143.947,cumbia,0.9776925190000001,4.0,0.7929999999999999,Ayer,0
2584,0.42747924200000004,AREBWEH1187B99EA9A,Beherit,finnish,1.0,0.28800000000000003,1.08802,0.5,0.66109,185.05098,0.363,0.596184927,8.0,0.26899999999999996,37.15735675013362,Helsinki,-63.93335786851952,-13.213,1,0.26899999999999996,480803,Drawing Down the Moon,ART5OVS1187B9B0851,0.549342332,SOYEWDH12AAF3B45CE,181.71400000000003,0.525,0.44761999999999996,141.621,illbient,0.921677475,4.0,0.905,Werewolf_ Semen And Blood,1993
2893,0.404575226,ARQ30G91187B9B8C12,Steinski,,0.0,0.04,0.04057,0.098,0.04057,169.97832,0.0,0.545364353,10.0,0.5329999999999999,37.15735675013362,Not available,-63.93335786851952,-12.738,0,0.547,534612,What Does It All Mean? - 1983-2006 Retrospective,ARZQ2HL1187FB4695A,0.433005077,SOUDAHM12A58A7B19A,169.97799999999998,1.0,0.04057,185.325,hip hop,1.0,4.0,0.59,Hot Spot (Terrible Love Mix),2003
6874,0.653897217,AR8V1WA1187B9AD9E9,The White Stripes,indie rock,2.0,0.608,0.9423799999999999,0.809,0.23693000000000003,259.5522,0.19399999999999998,0.878811344,2.0,0.018000000000000002,42.33168,Nashville / Los Angeles,-83.04791999999999,-8.686,1,0.35200000000000004,105985,Icky Thump,AR6NYHH1187B9BA128,0.845088385,SOPRMDL12A8C13CAF6,246.451,0.759,0.23693000000000003,85.15899999999999,blues-rock,0.9391014129999999,4.0,0.0,A Martyr For My Love For You,2007
7884,0.362116006,ARG274E1187FB4BCA8,Russ Taff,,0.0,0.08900000000000001,0.99715,0.956,0.22891,158.71955,0.166,0.482615302,2.0,0.9009999999999999,37.15735675013362,Not available,-63.93335786851952,-9.412,1,0.6859999999999999,62116,Now More than Ever,ARI8XJU1187FB57139,0.5317220979999999,SOCUVGH12A6D4FA234,149.043,0.956,0.22891,146.622,ccm,1.0,4.0,1.0,Jesus Loves Me (Now More Than Ever),0
7991,0.386861225,ARYQQY31187B9ABBE1,BerrogA1/4etto,country-es,1.0,0.166,1.72777,0.58,0.04882,115.17342,0.0,0.554851898,2.0,0.759,37.15735675013362,Not available,-63.93335786851952,-17.875999999999998,1,0.718,791247,Viaxe Por Urticaria,ARHBYTA1187FB3C812,0.266955186,SOCPUJD12AC468AD40,109.45299999999999,0.5710000000000001,0.04882,105.101,gaita,0.901281454,5.0,0.971,Lusco,0
5832,0.42926102899999996,ARIF3EV1187B9B8522,Paul Taylor,,0.0,0.16399999999999998,1.01599,0.377,0.06685,266.9971,0.35700000000000004,0.664690939,5.0,0.247,43.00029,Wyoming,-107.55405,-6.513999999999999,1,0.20600000000000002,323477,Hypnotic,ARZB3YT1187B9912DD,0.270775999,SOWRPTG12AAF3B1C29,261.462,0.264,0.06685,126.649,smooth jazz,1.0,5.0,0.79,Dream State,0
9350,0.49183580600000004,ARF1Q9B1187B9ADCC7,Lit,,0.0,0.033,1.2096799999999999,0.33799999999999997,0.30426,246.80444,0.0,0.760152293,10.0,0.573,33.6671,"Orange County, CA",-117.76505,-3.93,1,0.46299999999999997,295538,A Place In The Sun,AR57HKP1187FB5BF75,0.7214870459999999,SORRGXW12A8C139847,231.63099999999997,0.488,0.07725,135.02100000000002,post-grunge,1.0,4.0,0.365,Lovely Day,1999
6104,0.550991009,ARA1UU51187FB5A70B,The Misfits,horror punk,2.0,0.139,0.42567,0.0,0.42567,181.21098,1.1640000000000001,0.853725857,10.0,0.363,37.15735675013362,New Jersey,-63.93335786851952,-5.127999999999999,0,0.41100000000000003,47597,American Psycho,AR050VJ1187B9B13A7,0.774854127,SONRWFT12A6D4F983A,170.916,0.218,0.15916,111.15299999999999,horror punk,0.9208888909999999,4.0,0.0,Dig Up Her Bones,1997
6387,0.35438469,ARFK4281187FB5C811,Vox Dei,,0.0,0.13699999999999998,0.51232,0.6970000000000001,0.51232,456.69832,0.41,0.49105944700000004,7.0,0.406,37.15735675013362,Not available,-63.93335786851952,-18.342,1,0.565,98680,La Biblia,ARV4TAT1187FB3BDE8,0.44329131200000005,SONFUJU12A8C136ED9,439.014,0.16899999999999998,0.21454,66.85600000000001,new wave,1.0,4.0,0.0,Profecias,1971
6277,0.0,ARMG6K31187FB55677,Deekline & Wizard,,0.0,0.009000000000000001,0.87377,0.84,0.42412,325.92933999999997,0.0,0.332330882,4.0,0.615,37.15735675013362,Not available,-63.93335786851952,-5.563,0,0.465,648389,Back Up_ Coming Through Remixed,AR476VS1187B99F2F5,0.299877488,SOJDGAU12AB0181EB5,315.176,0.43200000000000005,0.20042000000000001,133.987,breakbeat,1.0,4.0,0.0,Baila Baila  Vent Remix,0
1086,0.381467815,AR72Q9R1187B98A664,Hatiras & Slarta John,toronto,1.0,0.006999999999999999,0.7656,1.0,0.29277,383.58159,0.271,0.153605548,10.0,0.8909999999999999,37.15735675013362,Not available,-63.93335786851952,-5.377999999999999,0,0.7040000000000001,323213,Spaced Invader,ARZ4G2N1187FB4802B,0.256866156,SOIKYFC12A6D4F9864,376.163,1.0,0.05753,128.02200000000002,tech house,0.935335903,4.0,0.0,Spaced Invader (Ian Pooley Club Mix),2000
1289,0.38479891,ARQXAUH1187B9BA010,Glen Campbell And Bobbie Gentry,classic pop and rock,1.0,0.099,0.66335,0.569,0.07113,183.11791000000002,0.125,0.582460567,7.0,0.59,33.90698,"Chickasaw County, MS",-88.95535,-13.880999999999998,1,0.627,60339,The Best of Bobbie Gentry: The Capitol Years,ARJOEGM1187B9B8F24,0.5550164089999999,SOSXYJQ12A6D4FB699,176.44799999999998,0.044000000000000004,0.07113,101.57700000000001,country blues,0.975475975,4.0,0.0,Mornin' Glory,1968
5067,0.39560835,ARHPDQM1187FB3C318,Albert Collins,blues,2.0,0.013000000000000001,1.64077,0.0,0.98841,356.25751,0.0,0.628102577,7.0,0.27,31.15509,"Leona, Texas",-95.96653,-11.892999999999999,1,0.22699999999999998,28610,Collins Mix,ARBU6D71187B9B5319,0.427446572,SOWISQE12A6D4F7DBB,341.18800000000005,0.096,0.50474,94.557,texas blues,1.0,4.0,0.536,Same Old Thing,1993
6736,0.389877126,ARXB7B21187B98BEF0,Marisela,latin,1.0,0.023,1.0459399999999999,1.0,0.43011000000000005,232.14975,0.369,0.570609658,10.0,0.675,37.15735675013362,Not available,-63.93335786851952,-9.994,1,0.643,536933,Voz Y Sentimiento,ARP05Q01187B9B5A10,0.21204540600000002,SORTBWU12AB017CC09,223.655,1.0,0.11853,98.07,cumbia,0.998932925,4.0,0.47600000000000003,Decidete,0
3188,0.39834951700000004,ARNUFGE1187B9B7881,THE CHIFFONS,classic pop and rock,1.0,0.594,0.56525,0.877,0.05415,138.762,0.183,0.5995365020000001,9.0,0.596,40.85715,"New York, NY [The Bronx]",-73.85678,-6.8629999999999995,1,0.594,209881,The Chiffons Absolutetly The Best!,ARXY7M01187B9B7611,0.394394856,SOAYZDX12A8C13B9C1,131.506,0.359,0.05415,122.939,doo-wop,0.923679184,4.0,0.9109999999999999,Did You Ever Go Steady,1963
7231,0.38242658399999996,ARGR98V1187FB3A1B9,Andreas Dorau,,0.0,0.563,0.71246,0.563,0.71246,312.94649,0.218,0.501785968,7.0,0.604,37.15735675013362,Not available,-63.93335786851952,-11.187999999999999,1,0.568,126060,Compact Disco Volume Two - Ladomat 2000,ARKI64B1187FB48606,0.38293509,SOSUEYB12A6D4FBF7E,299.131,1.0,0.2424,84.994,tech house,0.943419852,1.0,1.0,So Ist Das Nun Mal,1997
1920,0.467133519,ARED2DG1187FB3CB4D,Tantric,,0.0,0.212,0.60678,0.9079999999999999,0.18166,176.43057,0.113,0.720808698,9.0,0.622,37.15735675013362,Not available,-63.93335786851952,-2.741,0,0.531,570488,Mind Control,AR3FOK11187FB3F4EE,0.643478686,SOZFZMX12AB018BE08,165.605,0.563,0.18166,140.111,post-grunge,1.0,4.0,0.9940000000000001,Coming Undone,2009
6223,0.394282621,ARRZZRW1187B9A06E3,Rachel Portman,production music,1.0,0.049,1.12314,0.0,0.40543,161.43628,2.165,0.6038827920000001,7.0,0.08900000000000001,37.15735675013362,Not available,-63.93335786851952,-25.752,1,0.539,313944,The Sisterhood of the Traveling Pants 2,ARNMSZK1187B9A0CDB,0.249065795,SOQHAXR12A8C142BC7,152.636,0.0,0.40543,91.889,soft rock,0.9207683520000001,4.0,0.255,The Letters,2008
3902,0.47122433,AR3THYK1187B999F1F,JoAPSo Gilberto,brazilian,2.0,0.09699999999999999,3.72093,0.804,1.58228,312.05832000000004,1.17,0.645192339,2.0,0.099,37.15735675013362,Not available,-63.93335786851952,-22.083000000000002,1,0.175,53673,Joao,ARFETPU124549A3F38,0.5317220979999999,SOHBPQS12A58A7A631,303.624,0.087,1.3094,55.596000000000004,brazilian jazz,0.997881314,4.0,0.0,Eu E Meu Coracao,1991
5708,0.359757244,AREHMUC1187B98B91B,Java,,0.0,0.5579999999999999,0.8525200000000001,0.46299999999999997,0.17035999999999998,190.69342,0.0,0.625157654,7.0,0.542,37.15735675013362,Not available,-63.93335786851952,-6.371,1,0.5529999999999999,291359,"Safari CroisiA""re",ARVEJ9M1187FB4DC44,0.506905064,SOJSKKY12A8C134B10,187.548,0.386,0.17035999999999998,89.689,musette,0.871822216,4.0,0.609,Cendrier,0
4060,0.512455643,AREMPZY1187B9B8FF3,David Banner / Sky / Marcus,,0.0,0.08900000000000001,0.9543200000000001,0.655,0.13305999999999998,263.47057,0.10099999999999999,0.806364125,7.0,0.027000000000000003,37.15735675013362,Jackson MS,-63.93335786851952,-4.043,1,0.35200000000000004,46559,MTA2-Baptized In Dirty Water,ARCHCB01187B9AA577,0.319565987,SOVSHWF12AF72A75EF,241.85299999999998,0.93,0.13305999999999998,147.327,crunk,0.94721879,4.0,0.551,My Lord,0
7964,0.604666876,ARH6W4X1187B99274F,Radiohead,rock,5.0,0.079,2.0463299999999998,0.33,2.0463299999999998,204.06812,2.496,0.8999349520000001,4.0,0.23399999999999999,37.15735675013362,"Oxford, UK",-63.93335786851952,-13.708,0,0.303,404997,Pablo Honey (Collector's Edition),ARN5NHX1187FB4F755,0.545937381,SOKIZGL12AB018342D,194.206,0.447,1.77957,111.62899999999999,british pop,0.99997276,3.0,1.0,You (Demo),2009
4007,0.411797827,ARS8KBY1187FB4BC7E,Kurupt,,0.0,0.17800000000000002,0.9795200000000001,0.706,0.40237,207.98649,0.0,0.632852017,1.0,0.7070000000000001,39.95227,"Philadelphia, PA",-75.16237,-7.803999999999999,0,0.622,643394,Tha Streetz Iz A Mutha,ARWRRFW1187FB3A525,0.762646815,SORQTDS12AB0186ED3,207.986,0.732,0.11238,103.596,gangster rap,0.999800813,5.0,1.0,Girls All Pause,1999
8349,0.512226738,AR035N21187FB3938E,BT,trance,2.0,0.429,1.1365,0.47100000000000003,0.74566,214.54322000000002,12.179,0.786427083,2.0,0.245,34.23294,Earth,-102.4102,-7.652,1,0.414,64190,Stealth,AR7M4QL1187B9AE979,0.32773668300000003,SOEGJRT12A6D4FCD65,210.947,0.068,0.74566,150.082,electronica,0.999989369,4.0,0.9159999999999999,Henrys Death,2005
5145,0.34843419700000006,ARCLJQZ11E2835CE37,Alvin Youngblood Hart,folk,1.0,0.722,0.57409,0.722,0.57409,208.84853,0.33399999999999996,0.523653409,3.0,0.0,37.80506,"Oakland, CA",-122.27301999999999,-9.186,1,0.094,620938,Screamin' and Hollerin' The Blues,ARYQQSV1252CCF982A,0.33470654899999996,SOSNDGZ12AB017D82F,195.58700000000002,0.0,0.24025,111.523,blues-rock,0.915330298,1.0,0.0,Screamin' & Hollerin' The Blues,0
743,0.5313033189999999,ARASYMJ1187B9ACAF2,Whitesnake,british,3.0,0.172,1.65478,0.0,0.40601,209.99791000000002,0.976,0.822432829,7.0,0.64,51.50632,"London, England",-0.12714,-6.186,1,0.446,66818,Saints And Sinners,ARR3GSP1187B9AD4C4,0.6684662579999999,SOGEBZO12A67ADF488,200.899,0.493,0.19489,145.689,blues-rock,0.94748667,5.0,0.28600000000000003,Young Blood (2007 Digital Remaster),0
2070,0.328413738,AR6IJ6U1187B99FC7C,Alberto Cortez,,0.0,0.067,1.12744,0.747,0.43375,183.17016,0.27,0.506778928,3.0,0.34299999999999997,37.15735675013362,Not available,-63.93335786851952,-6.752000000000001,1,0.41,122921,ColecciA3n Diamante: Alberto Cortez,ARE401M1187B99DCDB,0.33470654899999996,SOTWTSO12A8C142128,168.687,0.28300000000000003,0.062079999999999996,91.584,chanson,1.0,7.0,0.505,Guitarra Dimelo Tu,0
7537,0.533085375,AR65OLD1187FB5C103,P.O.D.,,0.0,0.024,1.14943,0.7120000000000001,0.3378,195.81342,0.299,0.8598733120000001,2.0,0.43,37.15735675013362,Not available,-63.93335786851952,-4.436,0,0.506,5976,Payable On Death,AR5H4CJ1187B9AE949,0.612054954,SOBZIBE12A58A7FF40,184.332,0.85,0.13695,146.063,alternative metal,0.9847027770000001,4.0,1.0,Wildfire (Album Version),0
7431,0.554938523,AR2FAMK1187FB4CF60,AFI,hardcore punk,1.0,0.016,1.8749099999999999,0.813,0.58902,176.61342,0.0,0.9092472840000001,8.0,0.1,37.15735675013362,"Ukiah, CA",-63.93335786851952,-4.606,1,0.375,589791,Crash Love,ARKR75V1187FB3D4D5,0.867008491,SOKAVYA12AB0188454,176.613,0.722,0.26559,94.93700000000001,post-hardcore,0.9410354120000001,4.0,0.642,Too Shy To Scream,2009
963,0.71366982,ARM7EDF1187B9B3FA1,Guns N' Roses,hard rock,3.0,0.0,1.90268,0.0,1.90268,237.13914,3.2569999999999997,0.8440850609999999,8.0,0.602,37.15735675013362,Not available,-63.93335786851952,-8.591000000000001,1,0.462,226115,Lies / Appetite For Destruction,ARE8GLF1187FB52532,0.7197471409999999,SODXTMM12AF729F8F1,229.767,0.08800000000000001,1.90268,156.65,heavy metal,0.938552196,1.0,0.276,Mama Kin,1986
1589,0.44194516100000003,ARGGD1E1187B98FA9D,Parachute Band,,0.0,0.5539999999999999,0.66881,0.377,0.24716,199.28771,2.2119999999999997,0.63419618,2.0,0.392,37.15735675013362,Not available,-63.93335786851952,-3.353,1,0.474,326937,Technicolor,ARA9XVN1187B98F7CB,0.567591725,SOBQQCL12AB0180A33,195.483,0.812,0.03528,141.749,ccm,1.0,4.0,0.5539999999999999,No Eye Has Seen,0
2493,0.407602576,ARIKFQP1187B99A246,Stille Volk,,0.0,0.311,2.86335,0.585,2.07144,276.37506,6.861000000000001,0.5650501379999999,5.0,0.0,37.15735675013362,Not available,-63.93335786851952,-12.685,1,0.0,331557,Maudat,AR3Q6QR1187FB4CDF0,0.45076224200000004,SOUMWKR12AB0181548,269.009,0.07200000000000001,2.07144,149.971,neofolk,0.966801331,4.0,0.392,Orgasme Tellurique,2003
8828,0.3138666,AROLMXS1241B9C6915,An Cafe,,0.0,0.19899999999999998,0.67138,0.93,0.1987,233.03791,2.7569999999999997,0.455371855,5.0,0.276,37.15735675013362,Not available,-63.93335786851952,-4.329,1,0.318,359463,Goku Tama Rock Cafe,AR7XLQX1187B99A7EA,0.21204540600000002,SOEXCSV12A8C13D4EE,219.97400000000002,0.14400000000000002,0.1987,131.059,dance rock,1.0,4.0,0.0,S*B*Y,0
5548,0.45478538,ARKZ68G1187B98B189,Gang Of Four,uk,2.0,0.42700000000000005,0.718,1.0,0.19473,273.99791,0.402,0.6838450070000001,1.0,0.51,53.79449,"Leeds, England",-1.5465799999999998,-17.762999999999998,1,0.522,16298,A Brief History Of The 20th Century,ARDG9Z71187B997023,0.49239835299999996,SOXXMWC12A67AD7296,260.383,0.5489999999999999,0.19473,117.0,dance-punk,0.839443086,4.0,0.7829999999999999,Is It Love,1983
1955,0.33293095100000003,ARRVUWA1187B9A0FE2,Orquesta Aragon,,0.0,0.11199999999999999,2.75045,0.40399999999999997,0.67095,308.76689,0.758,0.508731241,9.0,0.8490000000000001,21.511020000000002,Cuba,-77.80679,-13.142999999999999,0,0.585,234236,Homenaje,AR2HU081187FB5B263,0.340922756,SOEFDKH12A58A7BECD,303.775,0.11,0.44571000000000005,91.54799999999999,charanga,1.0,5.0,0.573,Eso No Tiene Remedio,0
8127,0.427816989,ARXRVY51187B99E98E,Jim Bryson,,0.0,0.113,0.9136700000000001,1.0,0.29974,276.21832,0.253,0.519246036,5.0,0.46799999999999997,45.4215,"Ottawa, ON, Canada",-75.69189,-7.101,1,0.391,98397,The North Side Benches,ARR035B1187B99EF11,0.229144104,SOKPWEP12A8C137A4B,262.03700000000003,1.0,0.29974,97.431,singer-songwriter,1.0,4.0,0.0,Fleetwood,0
6673,0.40300079899999997,ARUEYGC1187FB3D94B,The Chi-Lites,classic pop and rock,1.0,0.381,1.41301,0.5770000000000001,0.5220199999999999,274.83383,0.452,0.607260129,9.0,0.401,41.88415,"Chicago, IL",-87.63241,-10.955,1,0.429,735578,The Chi-Lites Live In Concert,ARV03D41187FB413E8,0.47391251799999995,SOZSESR12AC468B782,268.336,0.311,0.5220199999999999,139.925,disco,1.0,4.0,0.0,The Coldest Days Of My Life,1972
71,0.337507289,ARCCRTI11F4C845308,White Heart,,0.0,0.0,0.36873,0.44299999999999995,0.36873,298.84036000000003,19.093,0.477364753,5.0,0.596,37.15735675013362,Not available,-63.93335786851952,-9.998,1,0.5670000000000001,148547,Tales Of Wonder,ARIYJXD1187B98C70E,0.26586104899999996,SOVJXVJ12A8C13517D,289.46,0.0,0.16818,113.277,ccm,1.0,4.0,0.872,Where The Thunder Roars (Tales Of Wonder Album Version),0
6027,0.5618305379999999,ARIZODP1187B9AD272,Bryan Ferry,british,2.0,0.14400000000000002,0.6570199999999999,0.857,0.08676,35.656690000000005,0.18899999999999997,0.69480252,7.0,0.0,54.898140000000005,"Washington, England",-1.53179,-18.160999999999998,0,0.0,27384,Frantic,ARYAUMZ1187B9A2A40,0.43483809,SOUKMIK12A6D4F671E,32.316,0.0,0.08676,82.568,glam rock,1.0,3.0,1.0,Ja Nun Hons Pris,2002
4801,0.735208878,ARH861H1187B9B799E,Johnny Cash,country,5.0,0.489,0.8514,0.0,0.16079000000000002,162.29832,2.206,0.8172569390000001,9.0,0.542,37.15735675013362,"Kingsland, AR",-63.93335786851952,-10.06,1,0.52,281825,Wanted Man: The Johnny Cash Collection,ARZ7MPB1187B98CA77,0.5787556779999999,SOIQENV12A8C133A29,156.415,0.22699999999999998,0.16079000000000002,170.995,honky tonk,1.0,4.0,1.0,Lonesome To The Bone,1974
